	Models	Disclaimers
0	2020 STELVIO RWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $42695.00 with 22L package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 08/03/2020.
1	2020 STELVIO AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $44695.00 with 22M package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 08/03/2020.
2	2020 STELVIO Ti AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $47095.00 with 22G package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 08/03/2020.
3	2020 STELVIO QUADRIFOGLIO AWD	Low-mileage lease for well qualified current lessees of a competitive brand vehicle (Non-FCA US LLC). Must show proof of ownership. Based on MSRP example of $82095.00 with 24P package after all applicable offers. Total due at lease signing includes a down payment and first month's payment. Offer requires dealer contribution. Tax title & license extra. Lessee pays for excess wear and mileage of $0.25/mile for each mile over 10000 miles per year if vehicle is returned at end of term. Option to buy at lease end at pre-negotiated price. Dealer's actual terms may vary. Offer through Ally Bank. Residency restrictions apply. Lease offer includes $1000 Conquest Bonus Cash. Bonus Cash applies to current owners or lessees of Audi BMW and Mercedes Benz Brand Vehicles Only. Must take retail delivery by 08/03/2020.
